tanggal,menu,kategori,harga,terjual,pendapatan
2026-09-03,Es Teh,Minuman,4000,40.0,160000.0
2026-08-20,Es Teh,Minuman,4000,42.0,168000.0
2026-08-21,Kerupuk,Snack,2000,36.0,72000.0
2026-09-02,Es Teh,Minuman,4000,41.0,164000.0
2026-08-17,Teh Hangat,Minuman,3000,12.0,36000.0
2026-08-19,Roti Bakar,Makanan,8000,9.0,72000.0
2026-09-03,Kerupuk,Snack,2000,33.0,66000.0
2026-09-04,Es Teh,Minuman,4000,39.0,156000.0
2026-08-20,Es Jeruk,Minuman,5000,21.0,105000.0
2026-08-26,Roti Bakar,Makanan,8000,12.0,96000.0
2026-09-04,Mie Ayam,Makanan,10000,15.0,150000.0
2026-08-26,Kerupuk,Snack,2000,36.0,72000.0
2026-08-18,Nasi Goreng,Makanan,12000,25.0,300000.0
2026-08-26,Es Teh,Minuman,4000,40.0,160000.0
2026-08-25,Mie Ayam,Makanan,10000,17.0,170000.0
2026-08-19,Nasi Goreng,Makanan,12000,19.0,228000.0
2026-08-27,Mie Ayam,Makanan,10000,21.0,210000.0
2026-09-02,Teh Hangat,Minuman,3000,12.0,36000.0
2026-08-28,Kerupuk,Snack,2000,33.0,66000.0
2026-09-04,Es Jeruk,Minuman,5000,22.0,110000.0
2026-09-01,Teh Hangat,Minuman,3000,14.0,42000.0
2026-08-26,Teh Hangat,Minuman,3000,11.0,33000.0
2026-08-24,Mie Ayam,Makanan,10000,20.0,200000.0
2026-08-17,Es Jeruk,Minuman,5000,20.0,100000.0
2026-09-01,Es Jeruk,Minuman,5000,24.0,120000.0
2026-09-04,Nasi Goreng,Makanan,12000,28.0,336000.0
2026-08-19,Kerupuk,Snack,2000,37.0,74000.0
2026-08-25,Es Teh,Minuman,4000,44.0,176000.0
2026-09-02,Kerupuk,Snack,2000,34.0,68000.0
